Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age
Bachelor,Divorced,46.31,1,0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,45
Bachelor,Together,76.005,0,0,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,66
Master,Single,58.308,0,1,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,57
PhD,Divorced,55.614,0,0,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,77
Master,Divorced,59.432,0,1,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,59
Bachelor,Divorced,55.563,0,1,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,43
PhD,Together,78.642,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,50
PhD,Together,67.911,0,1,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,72
Bachelor,Married,65.275,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,77
Bachelor,Together,27.203,1,1,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,71
Master,Together,48.33,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,60
Basic,Married,24.279,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,31
PhD,Married,64.355,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,36
Master,Together,50.943,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,65
Bachelor,Widow,53.653,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,68
Bachelor,Married,65.665,0,1,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,45
Bachelor,Single,81.217,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,32
Bachelor,Married,34.935,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,29
Bachelor,Divorced,61.25,0,1,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,62
PhD,Together,39.665,1,0,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,40
Bachelor,Single,60.152,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,42
Bachelor,Married,48.92,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,57
Master,Together,89.12,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,62
PhD,Together,44.124,0,1,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,75
Master,Single,81.169,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,46
Bachelor,Married,36.443,1,1,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,60
Bachelor,Single,26.095,1,0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,31
Bachelor,Together,71.367,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,62
Master,Married,80.184,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,77
Bachelor,Divorced,30.63,1,1,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,56
Master,Single,73.454,0,0,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,34
Bachelor,Married,42.691,0,0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,30
Bachelor,Married,70.503,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,68
Bachelor,Married,25.545,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,34
Bachelor,Married,32.88,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,35
PhD,Together,77.863,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,63
Master,Married,50.353,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,44
Bachelor,Single,61.839,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,57
PhD,Married,49.154,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,61
Master,Widow,47.682,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,46
Bachelor,Single,72.679,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,52
Master,Together,57.954,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,44
Bachelor,Married,65.316,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,59
Bachelor,Single,28.567,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,39
Master,Together,47.352,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,70
Bachelor,Together,44.931,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,54
Bachelor,Divorced,76.982,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,54
Master,Together,57.247,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,69
Master,Single,22.944,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,40
Master,Together,25.315,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,44
Bachelor,Widow,43.638,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,52
PhD,Single,42.71,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,37
PhD,Married,84.169,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,39
Bachelor,Together,54.058,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,45
Master,Married,24.683,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,31
Bachelor,Widow,85.62,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,57
Bachelor,Married,47.85,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,41
Bachelor,Married,19.514,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,53
Master,Married,27.159,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,48
Master,Single,39.548,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,58
Bachelor,Single,21.474,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,32
PhD,Single,60.504,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,50
Bachelor,Married,22.419,0,0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,58
Master,Married,81.698,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,72
Bachelor,Together,43.462,1,1,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,69
PhD,Single,54.88,1,0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,43
Bachelor,Married,79.908,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,39
Master,Married,15.315,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,51
Bachelor,Together,87.771,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,62
Bachelor,Married,33.039,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,43
Bachelor,Single,81.741,0,0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,41
Master,Together,71.499,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,50
Master,Married,62.466,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,51
PhD,Divorced,48.799,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,58
PhD,Together,52.157,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,71
Bachelor,Single,66.565,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,59
Master,Together,29.298,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,70
Bachelor,Single,47.691,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,42
Bachelor,Together,38.2,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,51
Bachelor,Married,44.989,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,47
PhD,Married,38.443,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,53
Master,Single,38.593,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,43
PhD,Together,64.413,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,51
Master,Married,36.959,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,40
PhD,Married,61.996,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,44
Bachelor,Married,51.287,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,53
Bachelor,Married,13.26,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,51
PhD,Together,47.472,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,55
Master,Together,54.603,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,65
PhD,Married,45.207,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,47
Bachelor,Together,40.689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,70
Master,Together,47.821,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,54
Master,Married,27.45,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,70
Bachelor,Together,39.453,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,38
Master,Together,26.85,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,50
Bachelor,Widow,79.8,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,66
Master,Married,61.794,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,60
Bachelor,Together,53.863,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,66
Bachelor,Together,24.221,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,62
PhD,Single,39.684,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,37
Master,Married,92.163,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,46
Master,Single,69.882,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,56
Bachelor,Together,33.178,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,44
PhD,Married,59.973,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,49
Master,Together,17.459,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,46
Bachelor,Divorced,23.91,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,52
Master,Married,42.169,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,52
Master,Married,26.224,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,43
Bachelor,Together,31.089,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,40
Bachelor,Single,30.081,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,60
Bachelor,Together,62.807,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,61
Bachelor,Single,72.906,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,66
PhD,Married,61.467,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,73
Master,Together,49.618,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,55
Master,Single,21.888,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,35
Bachelor,Widow,42.429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,48
Bachelor,Divorced,26.15,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,65
Basic,Married,30.801,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,46
Bachelor,Married,81.168,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,56
Master,Single,26.877,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,52
Master,Widow,45.006,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,77
Basic,Married,18.978,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,48
Bachelor,Married,22.574,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,54
PhD,Single,48.24,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,52
Bachelor,Married,45.837,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,47
Master,Single,35.791,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,56
PhD,Together,162.397,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,45
Bachelor,Widow,54.162,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,43
Master,Married,30.522,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,61
PhD,Married,54.456,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,60
Bachelor,Single,31.632,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,50
Bachelor,Widow,72.298,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,72
Master,Single,36.975,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,43
Master,Married,72.635,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,66
Bachelor,Married,13.624,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,45
Bachelor,Single,84.196,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,46
Bachelor,Together,70.971,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,61
PhD,Divorced,34.487,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,44
Bachelor,Single,28.769,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,44
PhD,Married,69.084,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,51
PhD,Together,65.488,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,63
Master,Married,62.466,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,51
Master,Single,32.218,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,61
Bachelor,Single,83.917,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,48
Bachelor,Divorced,46.102,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,59
Bachelor,Single,84.574,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,69
Bachelor,Married,56.181,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,59
Master,Divorced,63.12,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,71
Bachelor,Married,73.691,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,50
Bachelor,Together,63.381,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,61
PhD,Together,76.14,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,73
PhD,Divorced,62.859,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,62
Bachelor,Single,45.906,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,57
Master,Together,77.632,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,74
PhD,Married,46.463,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,50
Bachelor,Together,105.471,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,51
Master,Divorced,55.282,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,51
Master,Married,78.71,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,44
Bachelor,Together,66.886,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,63
Master,Single,98.777,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,61
Bachelor,Together,29.103,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,36
Bachelor,Married,67.445,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,47
PhD,Together,50.616,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,71
Bachelor,Divorced,49.431,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,66
Bachelor,Divorced,153.924,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46
Bachelor,Together,61.278,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,68
Master,Together,26.49,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,63
PhD,Together,73.059,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,74
PhD,Single,46.734,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,55
Bachelor,Together,56.253,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,58
Bachelor,Married,19.986,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,36
Bachelor,Widow,58.33,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,46
Basic,Married,25.965,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,41
Master,Together,14.661,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,65
Bachelor,Married,18.69,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,62
PhD,Together,45.068,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,47
Basic,Single,21.063,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,34
PhD,Married,29.187,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,53
Master,Married,54.69,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,50
PhD,Married,59.304,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,57
Master,Single,59.247,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,59
Bachelor,Widow,66.731,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,51
Bachelor,Married,77.353,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,41
PhD,Single,52.614,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,46
Bachelor,Married,26.751,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,47
PhD,Married,81.3,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,58
Bachelor,Single,70.337,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,42
Master,Married,36.145,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,36
PhD,Single,65.295,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,41
Bachelor,Divorced,68.118,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,58
Bachelor,Divorced,68.743,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,54
Master,Together,41.039,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,39
Bachelor,Together,38.946,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,66
Bachelor,Together,65.777,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,54
PhD,Divorced,66.476,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,45
PhD,Single,86.857,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,49
PhD,Married,160.803,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,39
PhD,Together,77.845,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,32
PhD,Together,69.476,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,52
PhD,Divorced,50.611,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,61
Bachelor,Single,61.209,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,51
Master,Together,42.315,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,63
Basic,Together,13.084,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,69
Master,Widow,47.57,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,72
Master,Married,61.923,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,60
Bachelor,Single,34.824,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,26
PhD,Single,26.518,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,72
Bachelor,Single,45.938,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,60
Bachelor,Together,78.468,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,61
Bachelor,Divorced,78.901,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,48
Bachelor,Married,71.427,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,43
Bachelor,Divorced,71.022,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,43
Master,Single,90.247,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,33
Master,Divorced,41.335,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,53
Bachelor,Married,71.952,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,35
PhD,Divorced,35.682,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,51
Bachelor,Divorced,43.185,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,70
PhD,Together,66.375,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,73
Master,Married,35.178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,50
Bachelor,Married,25.252,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,35
Master,Single,55.25,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,56
Bachelor,Single,33.249,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,46
Bachelor,Together,58.398,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,68
Bachelor,Together,50.272,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,39
PhD,Married,76.618,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,46
Master,Divorced,87.305,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,61
Bachelor,Together,25.851,1,0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,43
Bachelor,Divorced,58.71,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,51
Bachelor,Single,45.16,1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,63
Master,Married,74.806,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,56
Bachelor,Married,59.111,0,0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,67
PhD,Married,18.988,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,37
Bachelor,Married,72.19,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,56
Bachelor,Married,7.5,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,45
Bachelor,Married,44.794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,55
Bachelor,Married,80.395,0,0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,66
Master,Divorced,75.012,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,45
Master,Married,56.962,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,56
Bachelor,Together,89.891,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,30
PhD,Divorced,35.946,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,72
PhD,Together,53.593,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,68
Bachelor,Married,66.373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,43
PhD,Divorced,45.072,1,2,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,73
Bachelor,Divorced,89.694,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,48
Bachelor,Married,72.025,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,72
Bachelor,Married,67.432,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,48
